version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 41528 6 48 13442 1679493033 1679493034 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 41528 443 6 51 23889 1679493033 1679493034 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.162 10.0.1.176 58168 52536 6 1 44 1679493069 1679493088 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.99.175.16 10.0.1.176 49546 8009 6 1 44 1679493069 1679493088 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 27957 11075 6 1 44 1679493069 1679493088 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 121.158.89.62 10.0.1.176 21038 22 6 1 40 1679493069 1679493088 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 9410 6 1 40 1679493069 1679493088 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.253 10.0.1.176 46094 12871 6 1 40 1679493069 1679493088 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.98.216 10.0.1.26 52197 102 6 1 40 1679493069 1679493084 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.197 10.0.1.26 44357 13428 6 1 40 1679493069 1679493084 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 51666 443 6 33 14594 1679493069 1679493084 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.28 50688 443 6 51 23889 1679493069 1679493084 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.155.158.31 10.0.1.26 51223 3385 6 1 40 1679493069 1679493084 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 51666 6 31 10351 1679493069 1679493084 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.28 10.0.1.26 443 50688 6 46 13362 1679493069 1679493084 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 11292 6 1 40 1679493103 1679493121 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.192 10.0.1.176 45124 25499 6 1 40 1679493103 1679493121 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 1026 6 1 44 1679493103 1679493121 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.23.185.26 10.0.1.176 49603 3389 6 1 40 1679493103 1679493121 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 182.162.17.171 10.0.1.176 62878 8081 17 1 89 1679493103 1679493121 REJECT OK
