version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 9236 443 6 4 240 1679493281 1679493306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 9239 443 6 2 120 1679493281 1679493306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 43.155.118.219 10.0.1.26 40786 80 6 6 789 1679493281 1679493306 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 9235 443 6 4 240 1679493281 1679493306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 43.155.118.219 80 40786 6 4 350 1679493281 1679493306 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 9237 443 6 4 240 1679493281 1679493306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 9238 443 6 2 120 1679493281 1679493306 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.70.149.38 10.0.1.176 50413 7478 6 1 40 1679493306 1679493330 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 9420 6 1 40 1679493306 1679493330 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 15132 18094 6 1 44 1679493306 1679493330 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 48478 9008 6 1 44 1679493311 1679493335 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.178 10.0.1.26 26486 3150 6 1 44 1679493311 1679493335 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 97.93.11.148 10.0.1.26 21551 60023 6 1 40 1679493311 1679493335 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.45 10.0.1.26 443 39566 6 5 826 1679493311 1679493335 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 9954 443 6 3 180 1679493311 1679493335 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.45 10.0.1.26 443 58936 6 48 13442 1679493311 1679493335 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.45 39566 443 6 7 2447 1679493311 1679493335 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 9953 443 6 1 60 1679493311 1679493335 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.45 58936 443 6 52 23929 1679493311 1679493335 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679493317 1679493348 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.222.106 10.0.1.176 48218 80 6 2 128 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.222.106 10.0.1.176 38086 81 6 2 128 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.222.106 10.0.1.176 59842 8000 6 2 128 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.136 10.0.1.176 42869 1194 17 1 42 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.222.106 10.0.1.176 43508 8080 6 2 128 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.222.106 10.0.1.176 57342 8081 6 2 128 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.222.106 10.0.1.176 56060 8888 6 2 128 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.222.106 10.0.1.176 38780 3000 6 2 128 1679493338 1679493360 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.231 10.0.1.176 19205 9005 6 1 44 1679493338 1679493360 REJECT OK
